                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4562,                 1.5123,                0.92638,                0.85443,                0.83855,                0.86132,                0.52225,                 1.3551,                0.91205,                 1.2223,             0.00066384,             0.00066384,             0.00066384
                      2,                 1.2263,                0.77138,                0.88928,                0.88481,                0.84416,                0.92318,                0.63656,                 1.0402,                0.75519,                  1.084,              0.0012778,              0.0012778,              0.0012778
                      3,                  1.139,                0.64166,                0.87609,                0.99671,                0.88312,                0.95962,                0.67045,                 1.1494,                0.66002,                 1.0612,               0.001839,               0.001839,               0.001839
                      4,                 1.0437,                 0.5773,                0.86249,                0.95637,                0.87013,                0.95615,                0.73777,                0.95053,                0.63542,                0.98943,              0.0017624,              0.0017624,              0.0017624
                      5,                0.98452,                0.54584,                0.85296,                  0.922,                0.90909,                0.95393,                0.70467,                 1.0255,                0.60225,                0.98926,              0.0017624,              0.0017624,              0.0017624
                      6,                0.96034,                0.51005,                0.84703,                0.99761,                0.92208,                0.97296,                 0.7608,                0.87004,                0.57288,                0.94559,              0.0016832,              0.0016832,              0.0016832
                      7,                0.92357,                0.50617,                0.84041,                0.95719,                0.92208,                0.96884,                0.74959,                0.78403,                0.49156,                0.92739,               0.001604,               0.001604,               0.001604
                      8,                0.86895,                0.47049,                0.83594,                0.96451,                0.92208,                0.95778,                0.76172,                0.77767,                0.48308,                0.90482,              0.0015248,              0.0015248,              0.0015248
                      9,                0.84643,                0.46007,                0.83348,                0.94493,                0.89145,                0.95539,                 0.7267,                0.94929,                0.58976,                 0.9396,              0.0014456,              0.0014456,              0.0014456
                     10,                0.81736,                0.44596,                 0.8269,                0.98468,                0.90909,                0.97105,                0.75932,                0.80245,                0.45855,                0.91144,              0.0013664,              0.0013664,              0.0013664
                     11,                0.77477,                0.42582,                 0.8266,                0.98599,                0.92208,                0.97739,                0.78635,                0.78562,                0.46071,                0.89501,              0.0012872,              0.0012872,              0.0012872
                     12,                0.77719,                0.42501,                0.82756,                0.97253,                0.91946,                0.97259,                0.77878,                0.85986,                0.53829,                0.91028,               0.001208,               0.001208,               0.001208
                     13,                0.74218,                0.41099,                0.81761,                      1,                0.93506,                0.98416,                0.82075,                 0.6545,                0.39704,                0.86847,              0.0011288,              0.0011288,              0.0011288
                     14,                0.71669,                0.39337,                0.82091,                0.98627,                0.93323,                 0.9781,                0.81332,                0.71496,                0.45757,                0.89178,              0.0010496,              0.0010496,              0.0010496
                     15,                0.69151,                0.38119,                0.81349,                0.98355,                0.93506,                0.97545,                0.81618,                0.60099,                0.36524,                0.84773,              0.0009704,              0.0009704,              0.0009704
                     16,                0.70121,                0.39279,                0.80705,                 0.9735,                0.95408,                0.98419,                0.82616,                0.68369,                0.42691,                0.88119,              0.0008912,              0.0008912,              0.0008912
                     17,                0.67743,                0.37412,                0.80138,                0.97303,                0.93712,                0.98576,                 0.8492,                 0.6338,                0.37862,                 0.8703,               0.000812,               0.000812,               0.000812
                     18,                0.63861,                0.36035,                0.79892,                0.97177,                0.94805,                0.98381,                0.86637,                0.51667,                0.33938,                0.84946,              0.0007328,              0.0007328,              0.0007328
                     19,                0.61865,                0.35353,                0.79895,                0.99678,                0.93506,                0.98566,                0.88514,                0.53678,                0.34431,                0.85179,              0.0006536,              0.0006536,              0.0006536
                     20,                0.59286,                0.33347,                0.79708,                      1,                0.94661,                0.98671,                0.85818,                0.62371,                0.35699,                0.85659,              0.0005744,              0.0005744,              0.0005744
                     21,                0.57933,                0.32311,                0.79335,                0.99779,                0.92208,                0.98545,                0.86711,                0.54157,                0.35243,                0.85424,              0.0004952,              0.0004952,              0.0004952
                     22,                0.56231,                0.31782,                0.78846,                0.99862,                0.93506,                 0.9867,                0.88086,                0.54142,                0.34178,                0.85357,               0.000416,               0.000416,               0.000416
                     23,                0.54151,                  0.306,                0.78989,                0.98431,                0.94805,                0.98879,                0.89102,                  0.481,                0.29953,                0.82996,              0.0003368,              0.0003368,              0.0003368
                     24,                0.52868,                0.29353,                0.78762,                0.98519,                0.96104,                0.98907,                0.88932,                0.48922,                0.30463,                0.82323,              0.0002576,              0.0002576,              0.0002576
                     25,                0.50168,                0.28995,                0.78274,                0.98667,                0.96094,                0.98923,                0.91366,                0.41484,                0.27435,                0.81629,              0.0001784,              0.0001784,              0.0001784
